0inux 5.19.0-46-generic (ArielK-Yoga) 	29/07/23 	_x86_64_	(8 CPU)

11:33:14      UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
11:33:14     1000      4930    0.00    0.00    0.00    0.00    0.00     6  code
11:33:14     1000      5128    0.00    0.00    0.00    0.00    0.00     4  chrome_crashpad
11:33:14     1000      5131    0.01    0.01    0.00    0.00    0.03     4  Xwayland
11:33:14     1000      5256    0.00    0.00    0.00    0.00    0.00     1  gsd-xsettings
11:33:14     1000      5300    0.00    0.00    0.00    0.00    0.00     0  ibus-x11
11:33:14     1000      5439    0.00    0.00    0.00    0.00    0.00     2  code
11:33:14     1000      5459    0.23    0.03    0.00    0.00    0.25     7  code
11:33:14     1000      5501    0.10    0.03    0.00    0.00    0.13     2  code
11:33:14     1000      5530    0.03    0.01    0.00    0.00    0.04     3  brave
11:33:14     1000      5542    0.00    0.00    0.00    0.00    0.00     6  brave
11:33:14     1000      5544    0.00    0.00    0.00    0.00    0.00     1  brave
11:33:14     1000      5568    0.04    0.02    0.00    0.00    0.06     3  brave
11:33:14     1000      5570    0.01    0.00    0.00    0.00    0.01     7  brave
11:33:14     1000      5591    0.00    0.00    0.00    0.00    0.01     2  code
11:33:14     1000      5592    0.00    0.00    0.00    0.00    0.00     6  brave
11:33:14     1000      5593    0.01    0.00    0.00    0.00    0.01     7  code
11:33:14     1000      5621    0.00    0.00    0.00    0.00    0.00     4  brave
11:33:14     1000      5687    0.00    0.00    0.00    0.00    0.00     7  brave
11:33:14     1000      5758    0.00    0.00    0.00    0.00    0.00     6  brave
11:33:14     1000      6049    0.03    0.05    0.00    0.00    0.08     1  WD-TabNine
11:33:14     1000      6125    0.00    0.00    0.00    0.00    0.00     3  brave
11:33:14     1000      6279    0.15    0.01    0.00    0.00    0.16     2  TabNine-deep-lo
11:33:14     1000      6364    0.01    0.00    0.00    0.00    0.01     1  brave
11:33:14     1000      6691    0.00    0.00    0.00    0.00    0.00     1  brave
11:33:14     1000      6900    0.00    0.00    0.00    0.00    0.00     3  brave
11:33:14     1000      6980    0.00    0.00    0.00    0.00    0.00     4  bash
11:33:14     1000      7121    0.00    0.00    0.00    0.00    0.00     1  update-notifier
11:33:14        0      8838    0.00    0.00    0.00    0.00    0.00     1  dockerd
11:33:14     1000     23667    0.00    0.00    0.00    0.00    0.00     0  gnome-calendar
11:33:14     1000     23671    0.00    0.00    0.00    0.00    0.00     6  seahorse
11:33:14        0     23847    0.00    0.00    0.00    0.00    0.00     2  kworker/2:2-events
11:33:14        0     24137    0.00    0.00    0.00    0.00    0.00     3  kworker/u17:0-i915_flip
11:33:14        0     24283    0.00    0.00    0.00    0.00    0.00     3  kworker/3:1-events
11:33:14        0     26696    0.00    0.00    0.00    0.00    0.00     2  kworker/2:1-events
11:33:14        0     29624    0.00    0.00    0.00    0.00    0.00     5  kworker/u17:1-rb_allocator
11:33:14        0     31223    0.00    0.00    0.00    0.00    0.00     5  kworker/5:1-mm_percpu_wq
11:33:14        0     31254    0.00    0.00    0.00    0.00    0.00     4  kworker/4:0-events
11:33:14        0     31387    0.00    0.00    0.00    0.00    0.00     1  kworker/1:4-events
11:33:14        0     31398    0.00    0.00    0.00    0.00    0.00     1  kworker/u16:16-events_power_efficient
11:33:14        0     31403    0.00    0.00    0.00    0.00    0.00     1  kworker/u16:21-events_power_efficient
11:33:14     1000     31622    0.00    0.00    0.00    0.00    0.00     5  gjs
11:33:14     1000     34848    0.01    0.00    0.00    0.00    0.01     7  code
11:33:14     1000     34857    0.00    0.00    0.00    0.00    0.00     7  code
11:33:14     1000     34882    0.01    0.00    0.00    0.00    0.01     5  cpptools
11:33:14     1000     34950    0.00    0.00    0.00    0.00    0.00     3  code
11:33:14     1000     34962    0.00    0.00    0.00    0.00    0.00     7  TabNine
11:33:14     1000     35025    0.00    0.00    0.00    0.00    0.00     3  TabNine
11:33:14     1000     35055    0.00    0.00    0.00    0.00    0.00     3  code
11:33:14     1000     35207    0.00    0.00    0.00    0.00    0.00     7  code
11:33:14     1000     35557    0.00    0.00    0.00    0.00    0.00     3  cpptools-srv
11:33:14        0     35618    0.00    0.00    0.00    0.00    0.00     6  kworker/6:0-events
11:33:14        0     35635    0.00    0.00    0.00    0.00    0.00     0  kworker/0:1-events
11:33:14        0     35711    0.00    0.00    0.00    0.00    0.00     0  kworker/u16:0-events_unbound
11:33:14     1000     36046    0.00    0.00    0.00    0.00    0.00     3  brave
11:33:14        0     36103    0.00    0.00    0.00    0.00    0.00     7  kworker/7:2-events
11:33:14        0     36104    0.00    0.00    0.00    0.00    0.00     2  kworker/u16:1-events_unbound
11:33:14     1000     36143    0.00    0.00    0.00    0.00    0.00     6  brave
11:33:14     1000     36164    0.00    0.00    0.00    0.00    0.00     2  brave
11:33:14     1000     36181    0.00    0.00    0.00    0.00    0.00     4  brave
